ProductID,Date,Sales,Price,Discount,Profit,Region,Category,Rating
P023,2025-01-01,152,816.89,0.05,4118.76,North,Groceries,3.9
P023,2025-01-02,264,152.28,0.22,3404.46,West,Groceries,3.0
P023,2025-01-03,51,749.8,0.23,1003.12,West,Electronics,4.2
P023,2025-01-04,107,572.28,0.11,2164.92,East,Groceries,3.3
P023,2025-01-05,269,976.38,0.06,1362.43,South,Groceries,3.8
P023,2025-01-06,293,633.17,0.01,3430.18,North,Electronics,3.1
P023,2025-01-07,181,947.98,0.14,2541.67,South,Electronics,3.5
P023,2025-01-08,141,496.14,0.03,2980.71,East,Groceries,4.8
P023,2025-01-09,213,264.01,0.19,2700.62,South,Apparel,4.1
P023,2025-01-10,270,972.63,0.19,4758.0,South,Furniture,4.2
P023,2025-01-11,97,393.89,0.14,3083.34,South,Furniture,4.7
P023,2025-01-12,286,344.21,0.21,2427.01,West,Furniture,4.1
P023,2025-01-13,90,366.65,0.04,1062.55,North,Furniture,3.8
P023,2025-01-14,185,104.97,0.2,3827.43,East,Groceries,4.5
P023,2025-01-15,54,933.67,0.16,4659.84,North,Furniture,3.9
P023,2025-01-16,82,157.2,0.08,2300.73,East,Furniture,4.3
P023,2025-01-17,268,605.12,0.1,4886.85,East,Electronics,4.4
P023,2025-01-18,296,793.87,0.12,3090.93,East,Apparel,3.1
P023,2025-01-19,254,281.55,0.22,2901.48,North,Furniture,4.4
P023,2025-01-20,278,324.36,0.1,4022.2,West,Electronics,3.2
P023,2025-01-21,236,725.31,0.22,3497.42,South,Electronics,3.2
P023,2025-01-22,77,823.3,0.05,4570.24,East,Furniture,4.6
P023,2025-01-23,141,420.67,0.23,2088.53,East,Apparel,3.0
P023,2025-01-24,254,874.66,0.0,3042.99,North,Apparel,3.4
P023,2025-01-25,100,342.47,0.06,1673.16,West,Furniture,4.1
P023,2025-01-26,229,427.27,0.24,4849.79,South,Groceries,4.0
P023,2025-01-27,162,233.28,0.25,2067.12,South,Apparel,3.8
P023,2025-01-28,136,350.78,0.23,1958.25,South,Electronics,4.0
P023,2025-01-29,209,597.6,0.15,1323.41,West,Groceries,3.5
P023,2025-01-30,87,431.0,0.16,3534.12,East,Groceries,3.2
P023,2025-01-31,146,235.65,0.13,3783.25,East,Furniture,3.7
P023,2025-02-01,213,114.93,0.13,1905.98,West,Groceries,3.3
P023,2025-02-02,210,457.81,0.13,4350.84,East,Furniture,4.5
P023,2025-02-03,227,932.22,0.22,2031.77,West,Furniture,4.6
P023,2025-02-04,298,564.97,0.07,4985.01,South,Furniture,4.1
P023,2025-02-05,209,669.79,0.08,2396.84,West,Furniture,4.8
P023,2025-02-06,201,464.06,0.22,4403.71,North,Furniture,4.6
P023,2025-02-07,153,645.79,0.0,1405.89,East,Electronics,3.0
P023,2025-02-08,177,374.83,0.12,2793.7,North,Electronics,3.4
P023,2025-02-09,117,313.52,0.08,3985.97,West,Furniture,4.7
P023,2025-02-10,194,377.25,0.14,3035.26,South,Groceries,3.5
P023,2025-02-11,207,975.71,0.1,4568.19,East,Groceries,4.6
P023,2025-02-12,79,680.59,0.17,4456.67,West,Electronics,4.0
P023,2025-02-13,53,121.88,0.16,1708.44,West,Apparel,4.9
P023,2025-02-14,166,895.14,0.19,4812.29,North,Electronics,4.1
P023,2025-02-15,144,967.26,0.21,2177.8,North,Furniture,4.7
P023,2025-02-16,116,252.54,0.14,4744.62,South,Groceries,4.1
P023,2025-02-17,73,288.03,0.17,2434.59,East,Groceries,3.6
P023,2025-02-18,267,766.69,0.17,3809.94,West,Groceries,3.6
P023,2025-02-19,296,477.8,0.06,3446.05,West,Apparel,3.0
P024,2025-01-01,85,818.47,0.16,3807.87,West,Apparel,4.8
P024,2025-01-02,264,124.86,0.14,2753.9,East,Apparel,3.7
P024,2025-01-03,235,588.38,0.07,3363.33,South,Electronics,3.1
P024,2025-01-04,119,372.94,0.13,2306.6,West,Electronics,3.5
P024,2025-01-05,157,660.6,0.02,1206.73,West,Apparel,4.1
P024,2025-01-06,104,224.52,0.03,4878.15,South,Apparel,3.1
P024,2025-01-07,169,343.75,0.11,1313.83,North,Apparel,4.9
P024,2025-01-08,72,485.48,0.17,1232.77,South,Electronics,3.9
P024,2025-01-09,145,594.3,0.18,3640.79,North,Electronics,4.9
P024,2025-01-10,280,691.4,0.11,3920.16,East,Furniture,4.1
P024,2025-01-11,228,782.06,0.0,1464.29,North,Groceries,3.1
P024,2025-01-12,287,981.56,0.04,1068.64,South,Furniture,4.6
P024,2025-01-13,149,255.88,0.11,2594.02,South,Apparel,4.3
P024,2025-01-14,83,334.8,0.0,4733.75,West,Electronics,4.1
P024,2025-01-15,286,246.64,0.02,3569.68,North,Furniture,4.2
P024,2025-01-16,268,820.85,0.17,3293.47,North,Electronics,4.6
P024,2025-01-17,220,947.32,0.1,4844.76,South,Groceries,3.4
P024,2025-01-18,190,293.13,0.09,1155.85,South,Groceries,3.7
P024,2025-01-19,139,387.08,0.21,1093.09,South,Groceries,3.6
P024,2025-01-20,245,723.6,0.09,4746.59,West,Furniture,3.8
P024,2025-01-21,298,593.17,0.11,3274.08,East,Electronics,4.5
P024,2025-01-22,85,434.82,0.19,2363.21,South,Furniture,4.7
P024,2025-01-23,162,711.86,0.18,1952.94,South,Electronics,4.1
P024,2025-01-24,133,843.81,0.08,4582.09,North,Furniture,3.0
P024,2025-01-25,282,862.43,0.09,4827.2,East,Furniture,4.0
P024,2025-01-26,299,668.65,0.11,2172.84,North,Furniture,4.3
P024,2025-01-27,277,951.58,0.2,1453.86,North,Apparel,4.9
P024,2025-01-28,191,594.58,0.11,4550.82,East,Groceries,3.2
P024,2025-01-29,125,719.23,0.21,4467.47,South,Groceries,3.9
P024,2025-01-30,217,165.49,0.21,3824.97,North,Electronics,3.2
P024,2025-01-31,132,623.17,0.22,4521.44,North,Groceries,4.8
P024,2025-02-01,94,778.04,0.09,1334.0,North,Furniture,4.1
P024,2025-02-02,140,323.85,0.08,2737.81,North,Electronics,3.8
P024,2025-02-03,175,150.67,0.03,1470.1,North,Groceries,4.5
P024,2025-02-04,254,313.76,0.1,2910.86,North,Furniture,4.1
P024,2025-02-05,166,966.9,0.0,4879.52,North,Groceries,4.8
P024,2025-02-06,167,932.18,0.23,2011.96,East,Furniture,3.2
P024,2025-02-07,96,666.46,0.17,2818.16,North,Apparel,4.2
P024,2025-02-08,193,763.39,0.23,4834.81,West,Furniture,3.8
P024,2025-02-09,201,658.12,0.07,1752.48,South,Furniture,3.7
P024,2025-02-10,227,339.34,0.09,2039.8,East,Apparel,3.1
P024,2025-02-11,250,378.57,0.2,3738.92,North,Electronics,4.8
P024,2025-02-12,183,954.82,0.18,3453.66,South,Apparel,4.9
P024,2025-02-13,291,596.43,0.04,2645.02,South,Electronics,4.0
P024,2025-02-14,288,235.38,0.15,2523.56,South,Groceries,4.7
P024,2025-02-15,254,157.16,0.01,1535.41,North,Furniture,3.2
P024,2025-02-16,269,831.61,0.25,4986.55,North,Groceries,4.5
P024,2025-02-17,214,781.37,0.09,1964.34,North,Apparel,3.5
P024,2025-02-18,222,645.56,0.06,3686.8,West,Apparel,3.7
P024,2025-02-19,121,119.97,0.12,2904.84,East,Groceries,3.6
